CGDID,TTGDID,CPTID,easting__N,northing__,Investigat,Investig_1,Reference,PreDrill_D,Depth_of_T,Groundwate,Measured_D,ConeID,Known_Issu,Post_Groun,obs_class
43889,43154,38801,1571563.2,5181584,CPT,,50709#GE,0,5.91,1,0.8,MKJ311,,0,2
43890,43155,38802,1571563.5,5181576.9,CPT,,50709#GE,0,5.87,1,0.9,MKJ311,,0,2
43927,43146,38793,1571567.26,5181420.01,CPT,,13678-CPTu002,0.5,5.21,1,1.2,081034T,,0,2
5095,5095,3961,1571570.073,5181632.689,CPT,,STA-POD20-CPT010,0,20.03,0,0,4553,,0,2
14834,14834,11796,1571579.34,5181588.986,CPT,,STA-POD20-CPT004,0,5.66,0,0,C10CFIIP.C12252,,0,2
37822,40881,35826,1571582.867,5182713.812,CPT,,"13365 - 95 Warrington Street, Christchurch",0,15.52,1,0.9,071017T,,0,2
37823,40882,35827,1571587.565,5182725.907,CPT,,"13365 - 95 Warrington Street, Christchurch",0.5,15,0,0,071017T,,0,2
16691,16691,13592,1571593.618,5182915.574,CPT,,STA-POD11-CPT018,0,10.3,0,0,C10CFIIP.C12163,,0,2
38307,41460,36102,1571597.16,5182726.187,CPT,,11794_409-CPT2,0,20.05,0,0,C10CFIIP.C13080,,0,2
29870,31016,28303,1571597.896,5181135.583,CPT,,CPT2,0,15,0,0,4439,,0,2
49204,50230,45206,1571600,5181428,CPT,,65411,0,13.879,1,1,CP15-CF75PB7SN2,,0,2
35823,38404,33456,1571603.161,5182652.836,CPT,,"13103 - 92 Warrington Street, Christchurch",0,15,0,0,120523T,,0,2
38306,41459,36101,1571603.345,5182735.542,CPT,,11794_409-CPT3,0,20.1,0,0,C10CFIIP.C13080,,0,2
14683,14683,38999,1571603.415,5183279.674,CPT,,STA-POD12-CPT022,0,10,0,0,4447,,0,2
55646,56139,49248,1571605,5183097,CPT,,51-32877-52,0.5,20,1,1.1,I-CFXY-10,,0,2
12219,12219,20750,1571606.293,5181483.588,CPT,,"11161 - 33 Champion St, Christchurch",0,7.39,0,0,I-CFXYP20-10,,0,2
38308,41461,36103,1571607.066,5182715.789,CPT,,11794_409-CPT1,0,20.06,0,0,C10CFIIP.C13080,,0,2
29867,31015,28302,1571612.837,5181137.978,CPT,,CPT1,0,15.24,0,0,4439,,0,2
21258,21258,16769,1571617.548,5182196.423,CPT,,STA-POD16-CPT029,0,10.2,1,1,C10CFIIP.C10268,,0,2
49206,50238,45214,1571619,5181428,CPT,,65411,0,23.84,1,1.1,CP15-CF75PB7SN2,,0,2
30490,31137,28331,1571625.356,5181912.221,CPT,,"12810 - 117 Champion Street, Christchurch",0.5,20,0,0,100992T,,0,2
12223,12223,20751,1571629.184,5181483.089,CPT,,"11161 - 33 Champion St, Christchurch",0,6.07,0,0,I-CFXYP20-10,,0,2
14200,14200,11281,1571645.256,5182980.141,CPT,,STA-POD12-CPT001,0,13.5,0,0,C10CFIIP.C10267,,0,2
16226,16226,13007,1571645.47,5183194.938,CPT,,STA-POD12-CPT017,0,10.1,0,0,C10CFIIP.C12137,,0,2
38271,41466,36108,1571646.307,5183090.672,CPT,,11794_408-CPT1,0,20.3,0,0,C10CFIIP.C12137,,0,2
14631,14631,11652,1571650,5182162,CPT,,229125 - CPT1,0,15,0,0,4439,,0,2
14633,14633,11654,1571651,5182138,CPT,,229125 - CPT2,0,15.02,0,0,4439,,0,2
16831,16831,39105,1571654.111,5183059.4,CPT,,STA-POD12-CPT018,0,10.51,0,0,4447,,0,2
5034,5034,3900,1571657.7,5182631.645,CPT,,STA-POD16-CPT002,0,20,0,0,4486,,0,2
38272,41467,36109,1571658.849,5183087.948,CPT,,11794_408-CPT2,0,20.3,0,0,C10CFIIP.C12137,,0,2
28731,30033,27817,1571662.264,5182891.275,CPT,,CPT02,0,20.18,0,0,S12141,,0,2
35260,37645,33086,1571662.28,5181614.22,CPT,,Geotechnical Evaluation - 60 Champion,0,15,0,0,S15CFIIP.803,,0,2
6485,6485,5530,1571662.771,5181134.145,CPT,,CCC-POD04-CPT003,0,13.92,0,0,4215 50KN,,0,2
4687,4687,3550,1571663.004,5181366.295,CPT,,STA-POD19-CPT002,0,6.36,0,0,4486,,0,2
38273,41468,36110,1571665.937,5183074.984,CPT,,11794_408-CPT3,0,20.3,0,0,C10CFIIP.C12137,,0,2
28730,30037,27819,1571667.463,5182904.513,CPT,,CPT01,0,20.14,0,0,S12141,,0,2
37068,39643,34435,1571669.248,5181099.345,CPT,,CPT1 - 367 Cambridge Terrace,0,20.2,1,2.6,TKJ354,,0,2
