FID,CPT,predrill (m),L (m),Depth of Test (m),GWT (m),PGA (g),Lat,Long,CH_EW_RMSE,CH_NS_RMSE,CH_APL_mod (m),Rrup,CH_APL,Elevation (m),Slope_5m (%),River_Dir (deg)
2647,1439,1.2,94.93964555,33.5,1.2899,0.49,-43.505924,172.715467,-0.078471,-0.292685,0.303021793,3.167160354,0.303021793,1.62565,0.49719,190.55827
2670,1440,1.2,323.1562646,12.6,1.67392,0.49,-43.503845,172.715763,0.089353,-0.590228,0.596953139,3.325306363,0.596953139,2.21702,1.48439,208.78912
1955,1441,1.2,56.90463801,20.3,1.34372,0.44,-43.496479,172.702925,-1.59203,-0.193859,1.603789523,4.50722024,1.60378853,1.93696,0.28569,270.922
2981,1443,1.2,84.706692,40.4,1.18095,0.54,-43.515692,172.726755,-0.041369,-0.19051,0.194949876,1.868462074,0.194949876,1.47836,0.18161,187.85451
2978,1444,1.2,54.60963483,40.3,0.751248,0.54,-43.515263,172.72619,-0.019016,-0.122536,0.12400274,1.925114909,0.12400274,1.47943,0.43859,298.88493
2980,1445,1.2,67.05780426,35,1.19032,0.53,-43.510994,172.726334,0.099518,0.034722,0.105401374,2.260199363,0.105401374,1.67554,0.6013,221.38613
2953,1446,1.2,26.89653317,35.5,1.37095,0.52,-43.510488,172.723983,0.063582,-0.154373,0.166954167,2.397680492,0.166954167,1.80771,0.45535,196.42718
2927,1447,1.2,11.34189629,20,1.62137,0.51,-43.509387,172.721861,0.244,-0.174967,0.300248982,2.581460108,5.127149296,2.14172,2.94387,233.36077
2959,1448,1.2,182.3120261,27.7,1.55935,0.52,-43.509158,172.724585,0.101454,-0.040476,0.109230127,2.486453102,0.109230127,1.70214,0.18939,195.93912
2986,1449,1.2,276.7306266,41.8,1.67263,0.53,-43.509599,172.728082,0.148892,0.147063,0.209275784,2.321872893,0.209275784,1.9577,1.94816,221.99026
2987,1450,1.2,190.8365563,41.3,1.44592,0.53,-43.511196,172.728357,0.101577,0.158903,0.188594937,2.169930286,0.188594937,1.93535,0.40054,242.5156
2991,1451,1.2,247.2031657,41.1,1.67611,0.54,-43.512456,172.729642,0.009928,0.101399,0.101883867,2.017350028,0.101883867,2.02727,0.62124,260.27304
2990,1452,1.2,236.3257094,40.9,1.00296,0.55,-43.514218,172.72944,-0.220846,-0.133903,0.25826918,1.875115272,0.25826918,1.56356,0.10702,291.29937
2992,1453,1.2,180.1235355,41,1.13952,0.55,-43.516363,172.729662,-0.229969,-0.058346,0.23725513,1.698397895,0.23725513,1.68707,0.2818,241.06015
2484,1944,1.2,421.1027883,20,2.40209,0.5,-43.510545,172.712782,0.012265,-0.021097,0.024403148,2.819758895,0.024403148,1.80657,0.51798,19.09548
1909,1945,1.2,250.9357588,34.6,2.15976,0.46,-43.503295,172.700266,-0.346415,0.003576,0.346433457,3.996018334,0.346433457,2.27078,0.24815,359.29269
1929,1946,1.2,299.6273333,35.7,1.91913,0.46,-43.503783,172.701018,-0.304657,-0.093566,0.318701246,3.918743509,0.318701246,2.13916,0.11315,16.73632
1938,1947,1.2,384.5035187,35.8,1.73346,0.47,-43.504766,172.701829,-0.209866,-0.120442,0.2419711,3.796010186,0.2419711,2.0303,0.10387,29.49649
1580,1948,1.2,592.3518715,32.6,1.27132,0.46,-43.507582,172.691255,-0.204448,-0.093373,0.224760988,3.952698675,0.224760988,1.87767,0.31064,5.45848
1703,1949,1.2,198.6901175,33.2,1.82717,0.45,-43.504008,172.694302,-0.130031,0.251984,0.283555986,4.156207375,0.283555986,1.84237,0.36737,349.61973
1897,1950,1.2,498.3260505,35.7,2.44161,0.46,-43.505598,172.699921,-0.17143,-0.083726,0.190783354,3.808010927,0.190783354,2.74367,0.67333,342.16659
794,1951,1.2,6.157676647,31.6,1.38977,0.44,-43.508124,172.682138,1.15,-0.016865,1.150123658,4.262689724,0.53823129,1.8688,1.39228,86.77728
0,1958,1.2,485.0522334,23.6,2.04619,0.43,-43.519845,172.65473,0.268514,-0.417145,0.496094466,4.307476207,0.496094466,4.7641,0.18912,115.4391
940,1980,1.2,295.1796245,18.3,1.22472,0.48,-43.51916,172.684205,-0.336989,-0.024758,0.33789724,3.188920337,0.33789724,2.31874,0.35922,303.4334
1415,1983,1.2,518.3182128,25.9,1.93125,0.45,-43.50773,172.689201,-0.018269,-0.097972,0.09966077,4.033695768,0.09966077,2.21423,0.20943,265.77399
984,1989,1.2,332.2855257,21.9,1.90866,0.48,-43.518915,172.684914,-0.213092,-0.053447,0.219692472,3.175930084,0.219692472,2.93787,3.88358,294.0068
2996,2082,0,540.2767766,19.9,3.01308,0.55,-43.514352,172.733285,0.060924,0.079369,0.100055844,1.750300546,0.100055844,3.23622,0.86284,280.63854
2142,2145,0,293.3785282,22.1,1.33234,0.46,-43.500531,172.708774,-0.876746,-0.48559,1.002238094,3.908156059,1.002238094,2.65245,1.12381,218.38524
2101,2146,0,263.7655133,24.9,1.06988,0.46,-43.50047,172.708082,-0.604018,-0.405558,0.727540401,3.937605868,0.727540401,2.39669,0.48788,218.4043
2111,2147,0,276.2981989,20.8,1.14612,0.46,-43.500489,172.708363,-0.725918,-0.568594,0.922093314,3.9261364,0.922093314,2.61049,0.45695,218.41727
2080,2148,0,403.1905881,25,2.42677,0.45,-43.495586,172.707425,-0.200216,-0.137824,0.243067689,4.426679578,0.243067689,4.21303,0.30083,240.11339
2091,2149,0,403.7973663,18.6,2.27338,0.45,-43.495951,172.707683,-0.263137,-0.170575,0.313587167,4.382831111,0.313587167,3.99899,0.46925,246.59181
2078,2150,0,387.0932619,13.4,2.34313,0.45,-43.495847,172.70739,-0.225847,-0.098538,0.246407396,4.405731629,0.246407396,4.02676,0.39931,243.63305
