
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Christchurch
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
12, SRSS, 8067, -, 1.0, -, 3.3, 5.1, 1.6, "Christchurch_ New Zealand", 2011, "Christchurch Cashmere High School", 6.2, Reverse Oblique, 4.44, 4.46, 204.0, 0.1, 1.0, RSN8067_CCHURCH_CMHSN10E.AT2, RSN8067_CCHURCH_CMHSS80E.AT2 , RSN8067_CCHURCH_CMHSUP.AT2  
13, SRSS, 8068, -, 1.0, -, 11.3, 20.0, 0.0, "Christchurch_ New Zealand", 2011, "CSHS", 6.2, Reverse Oblique, 85.42, 85.42, 638.39, 0.05, 1.0, RSN8068_CCHURCH_CSHSN76W.AT2, RSN8068_CCHURCH_CSHSS14W.AT2 , RSN8068_CCHURCH_CSHSUP.AT2  
14, SRSS, 8069, -, 1.0, -, 6.4, 12.9, 0.1, "Christchurch_ New Zealand", 2011, "CSTC", 6.2, Reverse Oblique, 36.18, 36.18, 332.73, 0.075, 1.0, RSN8069_CCHURCH_CSTCS02E.AT2, RSN8069_CCHURCH_CSTCS88W.AT2 , RSN8069_CCHURCH_CSTCUP.AT2  
15, SRSS, 8070, -, 1.0, -, 16.1, 23.7, 0.0, "Christchurch_ New Zealand", 2011, "DCDS", 6.2, Reverse Oblique, 308.36, 308.52, 500.35, 0.125, 1.0, RSN8070_CCHURCH_DCDSN67E.AT2, RSN8070_CCHURCH_DCDSS23E.AT2 , RSN8070_CCHURCH_DCDSUP.AT2  
16, SRSS, 8071, -, 1.0, -, 6.6, 13.8, 0.0, "Christchurch_ New Zealand", 2011, "DFHS", 6.2, Reverse Oblique, 47.02, 47.02, 344.02, 0.05, 1.0, RSN8071_CCHURCH_DFHSS17E.AT2, RSN8071_CCHURCH_DFHSS73W.AT2 , RSN8071_CCHURCH_DFHSUP.AT2  
17, SRSS, 8072, -, 1.0, -, 14.0, 19.6, 0.0, "Christchurch_ New Zealand", 2011, "DGNS", 6.2, Reverse Oblique, 306.78, 306.93, 500.35, 0.125, 1.0, RSN8072_CCHURCH_DGNSS18W.AT2, RSN8072_CCHURCH_DGNSS72E.AT2 , RSN8072_CCHURCH_DGNSUP.AT2  
18, SRSS, 8073, -, 1.0, -, 24.6, 37.8, 0.0, "Christchurch_ New Zealand", 2011, "DKHS", 6.2, Reverse Oblique, 311.32, 311.47, 343.27, 0.0375, 1.0, RSN8073_CCHURCH_DKHSN33W.AT2, RSN8073_CCHURCH_DKHSN57E.AT2 , RSN8073_CCHURCH_DKHSUP.AT2  
19, SRSS, 8074, -, 1.0, -, 6.2, 15.6, 0.0, "Christchurch_ New Zealand", 2011, "DORC", 6.2, Reverse Oblique, 59.91, 60.28, 280.26, 0.1, 1.0, RSN8074_CCHURCH_DORCN20W.AT2, RSN8074_CCHURCH_DORCN70E.AT2 , RSN8074_CCHURCH_DORCUP.AT2  
20, SRSS, 8075, -, 1.0, -, 7.6, 14.2, 0.1, "Christchurch_ New Zealand", 2011, "DSLC", 6.2, Reverse Oblique, 40.59, 40.59, 295.74, 0.15, 1.0, RSN8075_CCHURCH_DSLCN27W.AT2, RSN8075_CCHURCH_DSLCN63E.AT2 , RSN8075_CCHURCH_DSLCUP.AT2  
21, SRSS, 8076, -, 1.0, -, 30.4, 44.9, 0.0, "Christchurch_ New Zealand", 2011, "DSZ", 6.2, Reverse Oblique, 212.56, 212.56, 638.39, 0.075, 1.0, RSN8076_CCHURCH_DSZE.AT2, RSN8076_CCHURCH_DSZN.AT2 , RSN8076_CCHURCH_DSZUP.AT2  
