
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-10


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Christchurch
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
5.5,0.01408504,0.12979934,0.00152842,0.00363038,0.0168962,0.00092479,4.873e-05,0.01965112,0.00011346,0.03209216,0.07684956,0.08466331,0.00274346,0.08437587,0.03081023,0.00238066,0.0085519,0.00032559,0.00425387,0.00025915,0.00038777,0.00921407,0.01632431,0.000709,0.00033963,0.0002543,0.00091072,0.00069206,0.00052913,0.00057005,0.00250209,0.00103817,0.00027605,0.0009901,0.00045119,0.00154252,0.00264296,0.17310338,0.00142559,0.0011925,0.00057716,0.0020013,0.00122797,0.00107962,0.0012466,0.0022552,0.04724968,0.00049072,0.00010398,0.03918492,0.00052113,0.00231756,0.00155967,0.00203256,0.0017187,0.00010083,0.00024498,0.01083321,0.00019179,0.00090891,0.00061942,0.00031075,0.00276778,0.00147112,0.00025657,0.06939416,0.15453805,0.00050389,0.00031697,0.00043672,0.0895621,0.05019192,0.00674651,0.02400942,0.02102282,0.00454215,0.00349625,0.11823072,0.00074459,0.0006115,0.0217242,0.06490986,7.269e-05,0.01897862,0.00023553,0.00095749,8.149e-05,0.00013436,0.00015789,0.04724325,0.00274236,0.00025844,0.00023813,0.00063173,0.00422126,0.00094257,0.00036515,0.00017366,0.00208373,0.00049871,0.00122424,0.00210098,0.00263003,0.00069648
6.0,0.01204934,0.10957576,0.00132499,0.00311572,0.01427211,0.00077475,3.984e-05,0.01938357,9.54e-05,0.0284145,0.06749118,0.0640841,0.00241401,0.07383697,0.02530388,0.00209162,0.00785067,0.00022666,0.00456454,0.0001866,0.0003178,0.0073384,0.01606956,0.00071902,0.00025351,0.00020001,0.0007207,0.00059868,0.00047385,0.00058058,0.00290674,0.00113399,0.00022776,0.00090749,0.00034601,0.00151078,0.00221454,0.1526984,0.00125869,0.00120221,0.00059265,0.00177639,0.00127496,0.00114837,0.0009614,0.00211035,0.04835366,0.00041701,9.496e-05,0.02985244,0.00038547,0.00236412,0.00164486,0.0013747,0.00213739,9.011e-05,0.00020328,0.00956176,0.00020945,0.00092328,0.00044214,0.00024056,0.00289351,0.00124503,0.00021376,0.06027758,0.12771337,0.00054898,0.00024733,0.00033401,0.07291132,0.03999289,0.00538511,0.0210553,0.01653095,0.00358834,0.0026429,0.09811739,0.00068211,0.00051698,0.01582518,0.05859454,6.594e-05,0.01774326,0.00020178,0.0007369,6.005e-05,0.00010605,0.00011194,0.03981361,0.00201462,0.00018797,0.00016045,0.00057467,0.00369533,0.0010421,0.00050571,0.00016752,0.00158126,0.00044005,0.00095632,0.00201131,0.00297678,0.00052926
6.5,0.01019448,0.09076512,0.00114501,0.00265092,0.011169,0.00083544,2.829e-05,0.01569212,8.65e-05,0.02423321,0.05829337,0.04964424,0.00206953,0.05967613,0.02187577,0.00175503,0.00802288,0.00016199,0.00512205,0.00016978,0.00025872,0.00627463,0.01356429,0.00091079,0.00021547,0.00016649,0.00059539,0.00046457,0.00042343,0.00059546,0.0028753,0.00097664,0.00020472,0.00096325,0.00030486,0.00122009,0.00194246,0.13112753,0.00132586,0.00098426,0.00046421,0.00158853,0.00113891,0.00115668,0.00090046,0.00178194,0.04782977,0.00046491,7.202e-05,0.02367255,0.0003103,0.00212568,0.00143979,0.00096984,0.00229818,6.034e-05,0.00018662,0.00817156,0.00022816,0.0006938,0.00040602,0.00022909,0.00272185,0.00101045,0.00019577,0.05269496,0.10407625,0.00058691,0.00019782,0.00031779,0.06370536,0.03151396,0.00535504,0.01834885,0.01222409,0.00274016,0.00264419,0.07550234,0.00056326,0.00043024,0.01258284,0.05378977,4.94e-05,0.01636707,0.00013829,0.00061682,4.56e-05,8.574e-05,7.963e-05,0.03297463,0.00155808,0.00015926,0.00014388,0.00056662,0.00288697,0.00125639,0.00054783,0.00017823,0.00166105,0.00043424,0.00078527,0.00196344,0.00232913,0.00054282
7.0,0.0085933,0.07441608,0.00099232,0.00262574,0.00899173,0.00084129,2.087e-05,0.01436371,7.669e-05,0.02150829,0.04568104,0.04077139,0.00180868,0.04875411,0.01943665,0.00167559,0.00721216,0.00015271,0.00519408,0.00014976,0.00023932,0.00626798,0.01071059,0.00086544,0.00019041,0.0001699,0.00050826,0.00041443,0.00043783,0.0005949,0.00287324,0.00087647,0.00019557,0.00094631,0.00035055,0.00114637,0.00161299,0.10959006,0.00133568,0.00069912,0.00043378,0.00159191,0.00091627,0.00105436,0.00089063,0.00159569,0.04341431,0.00054719,6.114e-05,0.01810104,0.00025904,0.00181438,0.00127259,0.00075727,0.00213308,4.621e-05,0.00015325,0.0068077,0.00026608,0.00060435,0.00039714,0.00021325,0.0027104,0.00078774,0.00020646,0.04705721,0.08510199,0.00061043,0.00016355,0.0002479,0.05903455,0.02483251,0.00591462,0.01465416,0.00909014,0.0020982,0.0028308,0.05896602,0.00054923,0.00035776,0.01028716,0.0448182,3.192e-05,0.01366782,0.00015544,0.00051903,3.715e-05,5.976e-05,6.101e-05,0.02631516,0.00094877,0.00012436,0.00015715,0.00066509,0.00316914,0.00116834,0.00040765,0.00019264,0.00189268,0.00048064,0.00082154,0.00173869,0.00184141,0.00052866
7.5,0.0073202,0.06103359,0.00087796,0.00305655,0.00734826,0.00072441,1.544e-05,0.01296983,6.471e-05,0.01827289,0.03893686,0.033503,0.00158387,0.04274554,0.0170002,0.00167472,0.00621339,0.00015176,0.00529043,0.00013478,0.00020656,0.00610719,0.0090544,0.00080701,0.00015748,0.00019497,0.00043671,0.00033519,0.00041109,0.00064256,0.00271822,0.00079725,0.0001707,0.00085034,0.00043637,0.00092846,0.0014894,0.09033415,0.00128712,0.00053089,0.00036398,0.00163927,0.00070696,0.00090238,0.00070342,0.00146521,0.03908872,0.00059863,4.773e-05,0.01343316,0.00022103,0.00154694,0.00127798,0.00064771,0.00197134,3.433e-05,0.00013644,0.00552535,0.00030148,0.00067755,0.00040141,0.00020558,0.00232572,0.00060855,0.00019339,0.03993094,0.07060268,0.00067288,0.00014156,0.00017989,0.05183647,0.02020389,0.00627976,0.01246556,0.00695068,0.00214167,0.00248714,0.04750536,0.00044795,0.00029447,0.00880807,0.03807634,2.811e-05,0.01328721,0.00021515,0.00044331,3.153e-05,3.987e-05,5.272e-05,0.01977105,0.00089935,9.479e-05,0.00015614,0.00069478,0.00332525,0.00112887,0.00028791,0.00019579,0.00220113,0.00044503,0.00071364,0.00157374,0.00157033,0.00055203
8.0,0.00621271,0.05003238,0.00077146,0.00337084,0.00660863,0.00070978,1.24e-05,0.01081238,5.263e-05,0.01583654,0.03599862,0.02731974,0.00127617,0.03622126,0.01474925,0.00140666,0.00483651,0.00013465,0.00458205,0.00010963,0.00018158,0.00526028,0.00767098,0.00082871,0.00014994,0.0002059,0.00037892,0.00023793,0.00040926,0.00071113,0.00248903,0.00074738,0.00016947,0.00075033,0.00050342,0.00094551,0.00136975,0.07400979,0.00129339,0.00045772,0.0002983,0.00182498,0.00064872,0.00082796,0.00054732,0.00142161,0.03168087,0.00061228,4.079e-05,0.01069199,0.00018979,0.00159586,0.00137074,0.00058229,0.00184878,2.721e-05,0.00011071,0.00497588,0.00034467,0.00068983,0.00036847,0.00018492,0.00200136,0.00052322,0.00020228,0.03277242,0.06007338,0.00071138,0.00012429,0.00014971,0.0436489,0.01653692,0.00612596,0.01030437,0.00554337,0.0017847,0.00201181,0.04047135,0.00042385,0.00024823,0.00770261,0.03021773,2.663e-05,0.01142131,0.00023183,0.00038899,2.695e-05,3.181e-05,4.504e-05,0.01643279,0.00099111,7.459e-05,0.0001598,0.00080015,0.00330238,0.00106463,0.00026558,0.00019136,0.00217042,0.00046761,0.00071257,0.00140276,0.00146565,0.00053962
8.5,0.00529212,0.0412743,0.00067855,0.00336436,0.00568179,0.00061232,1.051e-05,0.00855357,4.221e-05,0.01410964,0.0319055,0.02295972,0.00108281,0.03010121,0.01275983,0.00108314,0.004172,0.0001141,0.00410124,8.711e-05,0.00016409,0.00470583,0.00658955,0.00084898,0.00012723,0.00022866,0.00033281,0.00020988,0.00044907,0.00069768,0.00219748,0.00063153,0.0002009,0.00068091,0.0005182,0.0008547,0.00109958,0.06111309,0.00120653,0.00050241,0.00024006,0.00177705,0.0006568,0.00082038,0.00050448,0.0012625,0.0256982,0.00064029,3.642e-05,0.0094179,0.00016315,0.00136401,0.00145408,0.00052819,0.00173573,2.252e-05,8.346e-05,0.00445294,0.00035728,0.00062845,0.00033089,0.00018498,0.00170919,0.00045179,0.00022326,0.02709868,0.05134758,0.00066236,0.00010851,0.00013534,0.035657,0.01392644,0.00546671,0.00811947,0.00468516,0.00147096,0.00182888,0.03550425,0.00038044,0.00021751,0.00661553,0.02502504,2.35e-05,0.01026123,0.00018617,0.00033863,2.344e-05,2.676e-05,3.7e-05,0.0134398,0.00100713,6.582e-05,0.00015886,0.00081981,0.00297979,0.00110347,0.00029221,0.00019041,0.00206667,0.00051382,0.00072517,0.00127682,0.00138842,0.00048549
9.0,0.00451895,0.03493565,0.00058453,0.00303811,0.00495342,0.00049766,8.81e-06,0.00715377,3.471e-05,0.0122557,0.02729764,0.01941005,0.00096215,0.02481849,0.0110443,0.00092713,0.00379636,9.787e-05,0.0034405,7.085e-05,0.00017192,0.0037916,0.00543439,0.00084518,0.00012754,0.00024727,0.00029466,0.00017425,0.00045753,0.00066047,0.00203204,0.00052027,0.00023552,0.00065167,0.00049576,0.00066487,0.00087716,0.05307172,0.00107862,0.00051061,0.00019582,0.00163263,0.00062056,0.00077719,0.00042063,0.0011155,0.02088401,0.00064165,3.266e-05,0.00829929,0.00014135,0.00121113,0.00143298,0.00047552,0.00151434,2.188e-05,7.076e-05,0.00401834,0.00035031,0.00052382,0.00030769,0.00020363,0.00141958,0.00038768,0.00021223,0.021982,0.043961,0.00059204,9.467e-05,0.00011596,0.0291767,0.01239429,0.00457554,0.00695012,0.00419692,0.00128105,0.00146866,0.03105645,0.00033703,0.00019431,0.00555406,0.02082643,2.104e-05,0.00910856,0.00014596,0.0002934,2.068e-05,2.25e-05,3.008e-05,0.0109516,0.00094718,5.791e-05,0.00014293,0.00069948,0.00274921,0.00106129,0.00030003,0.00018676,0.0018144,0.00051819,0.00073158,0.00118445,0.00119059,0.00041737
9.5,0.00387143,0.02990127,0.00050125,0.00281342,0.00409579,0.0003971,7.42e-06,0.00593383,3.018e-05,0.01034391,0.02281003,0.01651296,0.00084848,0.02048118,0.00972707,0.00079739,0.00335334,9.022e-05,0.00272013,6.024e-05,0.00015483,0.00312562,0.00436743,0.00081214,0.00012141,0.00025998,0.00026283,0.00015869,0.00041294,0.00059244,0.00178861,0.00045254,0.00023918,0.00060817,0.00048919,0.00053969,0.00074432,0.04613286,0.00102347,0.00052267,0.00017551,0.00150827,0.00055389,0.00063327,0.00039807,0.00099754,0.01653088,0.00061836,3.14e-05,0.00731919,0.00012359,0.00110973,0.00145822,0.00042333,0.00138189,1.964e-05,5.842e-05,0.00356069,0.00032272,0.00041879,0.00027293,0.00022768,0.00121704,0.00035233,0.00018566,0.01948667,0.03824519,0.00054233,8.32e-05,9.691e-05,0.02391858,0.01105296,0.00424715,0.005794,0.00365846,0.00107653,0.00126931,0.02722903,0.00030389,0.00017356,0.0046302,0.01762555,2.0e-05,0.00737212,0.00013655,0.00025889,1.835e-05,2.046e-05,2.568e-05,0.00911121,0.00090247,5.109e-05,0.00014539,0.00064145,0.0023563,0.00094632,0.00026262,0.00017957,0.00159618,0.00048522,0.00071847,0.00120009,0.00101714,0.0003847
10.0,0.00335788,0.02605829,0.0004327,0.00249347,0.00342083,0.00032919,6.32e-06,0.00505472,2.708e-05,0.00862479,0.01878735,0.01416628,0.00070788,0.01702406,0.0086448,0.00074782,0.00286116,8.375e-05,0.00233196,5.285e-05,0.00014492,0.00275059,0.00348152,0.00074508,0.00011543,0.00024458,0.00023625,0.00016133,0.00037893,0.0005339,0.00149349,0.00040498,0.00023342,0.00054629,0.00046028,0.00048259,0.00060049,0.04019428,0.00092321,0.00048799,0.00015321,0.00129923,0.00047271,0.00052309,0.00035589,0.00093064,0.01387926,0.00057576,3.246e-05,0.00643892,0.00010876,0.00095885,0.00144061,0.00037478,0.0011052,1.645e-05,4.756e-05,0.00313518,0.00027852,0.00036754,0.00023632,0.00024359,0.00100455,0.00031915,0.00016725,0.01790831,0.03399312,0.00050596,7.349e-05,8.373e-05,0.02043664,0.00988607,0.00392922,0.00481702,0.00314473,0.00097268,0.00105999,0.02390008,0.00025019,0.00017322,0.00402141,0.01536406,1.903e-05,0.00586756,0.00014067,0.00023342,1.633e-05,1.964e-05,2.372e-05,0.00792456,0.00079735,4.536e-05,0.00013142,0.00051612,0.00216384,0.00090437,0.00024389,0.00017122,0.00146743,0.00043702,0.00063796,0.00116728,0.00089613,0.0003519
11.0,0.00264174,0.02039845,0.00034212,0.00184039,0.00241433,0.000296,5.04e-06,0.00379845,2.213e-05,0.00698172,0.0149726,0.01139827,0.00057764,0.01311654,0.00712083,0.00064393,0.00228557,7.625e-05,0.00162602,4.149e-05,0.00013253,0.00192068,0.0024214,0.00060682,0.00012391,0.00022132,0.00019442,0.00015451,0.00034957,0.00047855,0.00120001,0.0003674,0.00019677,0.00043175,0.00040663,0.00043036,0.00042209,0.03080529,0.00076106,0.00045307,0.00012849,0.00096472,0.0003632,0.00036481,0.00035271,0.00073608,0.00994591,0.00047409,3.044e-05,0.00497902,8.59e-05,0.00065793,0.00111477,0.00029403,0.00085285,1.27e-05,3.219e-05,0.00246857,0.00021443,0.000282,0.00024232,0.00022734,0.00078547,0.00026074,0.0001611,0.01487487,0.02722275,0.00043389,5.85e-05,6.384e-05,0.01655389,0.00799431,0.00303767,0.00390816,0.00259149,0.00075681,0.00088965,0.01857482,0.0001582,0.00017028,0.00328011,0.01180753,1.931e-05,0.00482502,0.00013412,0.00019252,1.304e-05,1.738e-05,2.045e-05,0.00589695,0.00069626,3.672e-05,0.00011269,0.00036439,0.00175068,0.00074434,0.0002258,0.00014578,0.00114509,0.00031872,0.00043524,0.00100364,0.00073139,0.00028219
12.0,0.00211692,0.01637418,0.00027368,0.00147741,0.00192929,0.00026934,4.12e-06,0.00289758,1.791e-05,0.0058132,0.01248801,0.00912202,0.00049444,0.01060154,0.00594127,0.00055131,0.00182742,8.038e-05,0.00120554,3.674e-05,0.00012358,0.00145564,0.00177385,0.00049932,0.00012838,0.00019483,0.00016262,0.0001111,0.00031096,0.00039742,0.00098826,0.00030342,0.00015882,0.00039519,0.00034839,0.00033995,0.0003237,0.02395804,0.0006371,0.00034687,0.00010158,0.00076972,0.00026665,0.00031798,0.00033761,0.00054038,0.00724158,0.00038677,2.303e-05,0.00388457,6.962e-05,0.00050239,0.00088358,0.00023053,0.00064938,1.056e-05,2.499e-05,0.00193567,0.00018714,0.00023226,0.00023021,0.00019862,0.00062121,0.00021358,0.00014051,0.01225828,0.02217923,0.00035534,4.81e-05,5.306e-05,0.01403743,0.00656359,0.00214372,0.00303156,0.00205658,0.00062986,0.00072995,0.0146796,0.00011501,0.00015704,0.0026456,0.00920958,1.548e-05,0.00386888,0.0001194,0.00015761,1.073e-05,1.587e-05,1.681e-05,0.00461586,0.00054041,3.077e-05,0.00010998,0.00026725,0.00135109,0.00055615,0.00019546,0.00012217,0.00094033,0.00026672,0.0003936,0.00080943,0.00054088,0.00025519
13.0,0.00172239,0.01333981,0.00022239,0.00111649,0.00139263,0.00026519,3.43e-06,0.0020992,1.454e-05,0.00494011,0.0103397,0.00735504,0.00042507,0.00867197,0.00500613,0.00042026,0.00160638,8.456e-05,0.00089261,3.434e-05,0.00011325,0.00115252,0.00136376,0.00042337,0.00010454,0.00018034,0.00013798,0.00010761,0.00025903,0.0003261,0.00081439,0.00023081,0.00012407,0.00033506,0.00030032,0.00032516,0.0002705,0.01891283,0.00052412,0.00026535,7.898e-05,0.00056391,0.00020998,0.00026311,0.00023374,0.00044106,0.00566404,0.00033102,1.924e-05,0.0030779,5.78e-05,0.00039165,0.00064591,0.00019786,0.00054861,9.31e-06,1.989e-05,0.00151251,0.00016475,0.00019429,0.00021363,0.0001817,0.0004845,0.00017657,0.00011202,0.01012266,0.01835685,0.00028991,4.073e-05,4.625e-05,0.01177668,0.00546856,0.0016118,0.00274458,0.00166006,0.00054569,0.00058502,0.01182599,9.171e-05,0.00011927,0.00213044,0.00752546,1.405e-05,0.00295094,0.00010791,0.00013582,9.05e-06,1.362e-05,1.427e-05,0.00386183,0.00043768,2.638e-05,9.849e-05,0.00021095,0.00106453,0.00047829,0.00017416,9.077e-05,0.00073499,0.00023425,0.00034677,0.00060774,0.00047042,0.00020378
14.0,0.00142624,0.01104626,0.00018415,0.00094981,0.00106957,0.00025353,2.99e-06,0.0016402,1.301e-05,0.00418341,0.00864138,0.00616584,0.00035045,0.00728196,0.0042595,0.00037004,0.00135911,7.897e-05,0.00075374,3.102e-05,0.00010212,0.00097166,0.00108008,0.00034879,8.731e-05,0.00014541,0.00011861,8.307e-05,0.00019988,0.00027626,0.00062201,0.00018723,0.00011269,0.0002727,0.00024284,0.00027324,0.00022744,0.01515298,0.00039857,0.00020852,6.189e-05,0.00042694,0.00015661,0.00021433,0.00017225,0.0003745,0.00468205,0.00027038,1.626e-05,0.00248315,4.899e-05,0.00033029,0.00047642,0.00017134,0.00044398,7.98e-06,1.733e-05,0.00125002,0.0001474,0.00016004,0.0001852,0.00015529,0.00038071,0.0001519,8.727e-05,0.00841827,0.01541024,0.00022898,3.503e-05,4.018e-05,0.00987105,0.00461812,0.00132824,0.00237804,0.00148899,0.00045059,0.00046221,0.00971141,7.369e-05,9.981e-05,0.00172446,0.00645562,1.126e-05,0.00225112,9.507e-05,0.00011635,7.78e-06,1.18e-05,1.224e-05,0.00323796,0.00034732,2.288e-05,9.06e-05,0.00016888,0.0008269,0.00037321,0.00015072,7.743e-05,0.00056422,0.00020018,0.00029385,0.00047755,0.00036959,0.00015989
15.0,0.00119661,0.00925732,0.00015468,0.00077719,0.00089004,0.00020922,2.6e-06,0.0012829,1.165e-05,0.00354917,0.00723223,0.00530871,0.00027204,0.00620193,0.00365833,0.00032175,0.00111486,6.658e-05,0.00062118,2.628e-05,9.507e-05,0.00081747,0.00088508,0.00029069,7.563e-05,0.0001259,0.00010305,6.863e-05,0.00016826,0.00023083,0.00050274,0.00015081,9.739e-05,0.00020978,0.00020845,0.00021121,0.00019253,0.01231913,0.00032908,0.00019542,5.189e-05,0.00034322,0.00012645,0.00020477,0.00016006,0.00031519,0.00391767,0.00022292,1.218e-05,0.00204035,4.222e-05,0.00027949,0.00037317,0.00014853,0.00034505,6.83e-06,1.638e-05,0.00110151,0.00012404,0.00011846,0.00015093,0.00013875,0.000305,0.00013203,7.046e-05,0.00706465,0.01310127,0.00019256,3.016e-05,3.421e-05,0.00831151,0.00394752,0.0010845,0.00201149,0.00129671,0.00036584,0.00037936,0.00811875,6.037e-05,9.187e-05,0.00141516,0.00555171,9.51e-06,0.00188797,7.947e-05,0.00010141,6.73e-06,1.032e-05,1.041e-05,0.00273758,0.00028804,1.994e-05,7.973e-05,0.0001365,0.00066742,0.00030262,0.00012465,6.579e-05,0.00046552,0.00016887,0.00025002,0.00037911,0.00030135,0.00013586
20.0,0.00058869,0.00469513,7.381e-05,0.00026201,0.00038697,9.033e-05,1.34e-06,0.0005403,6.66e-06,0.00171081,0.00364016,0.00293152,0.00012561,0.00324524,0.00192701,0.00014912,0.00045998,2.413e-05,0.00031623,1.242e-05,4.261e-05,0.00037571,0.00049129,0.00012912,2.932e-05,6.29e-05,5.755e-05,3.953e-05,9.35e-05,0.00010346,0.00022466,6.223e-05,3.859e-05,8.56e-05,8.604e-05,9.937e-05,0.00010015,0.00579769,0.00015608,0.00011279,2.794e-05,0.00016868,5.839e-05,9.781e-05,9.829e-05,0.00014418,0.00186414,9.853e-05,4.78e-06,0.00103538,2.336e-05,0.00013766,0.00014291,7.857e-05,0.0001664,3.79e-06,8.64e-06,0.00061784,6.617e-05,5.328e-05,6.504e-05,6.075e-05,0.00014113,6.932e-05,3.373e-05,0.00339206,0.00673645,7.904e-05,1.643e-05,1.752e-05,0.00404465,0.00209799,0.00047282,0.00089946,0.00057599,0.0001645,0.00018531,0.00406295,3.086e-05,5.459e-05,0.00065735,0.00280491,3.77e-06,0.00092209,3.718e-05,5.646e-05,3.73e-06,4.51e-06,6.06e-06,0.00132291,0.00014074,1.047e-05,3.931e-05,6.157e-05,0.00025657,0.00014718,6.386e-05,2.873e-05,0.00017836,8.627e-05,0.00010005,0.00018638,0.00015252,7.09e-05

 -- Unscaled Horizontal & Vertical Spectra, as recorded --
