
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2022-03-15


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, -1.0e-06
Magnitude Max:, 99999
Rrup Min (km):, -1.0e-06
Rrup Max (km):, 99999
Rjb Min (km):, -1.0e-06
Rjb Max (km):, 99999
Vs30 Min (m/sec):, -1.0e-06
Vs30 Max (m/sec):, 99999
D9-95 Min (sec):, -1.0e-06
D9-95 Max (sec):, 99999
Scale Factor Min:, -1.0e-06
Scale Factor Max:, 99999
Period Array:, 
Weight Array:, 
Record Sequence Number:, 
Earthquake Name:, Darfield
Station Name:, 
User-Defined Maximum Number of Records:, 
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, No Scaling
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
13, SRSS, 6893, -, 1.0, -, 15.0, 21.3, 2.8, "Darfield_ New Zealand", 2010, "DFHS", 7.0, strike slip, 11.86, 11.86, 344.02, 0.1625, 1.0, RSN6893_DARFIELD_DFHSS17E.AT2, RSN6893_DARFIELD_DFHSS73W.AT2 , RSN6893_DARFIELD_DFHSUP.AT2  
14, SRSS, 6894, -, 1.0, -, 41.4, 53.4, 0.0, "Darfield_ New Zealand", 2010, "DGNS", 7.0, strike slip, 265.51, 266.57, 500.35, 0.25, 1.0, RSN6894_DARFIELD_DGNSS18W.AT2, RSN6894_DARFIELD_DGNSS72E.AT2 , RSN6894_DARFIELD_DGNSUP.AT2  
15, SRSS, 6895, -, 1.0, -, 30.9, 47.7, 0.1, "Darfield_ New Zealand", 2010, "DKHS", 7.0, strike slip, 270.2, 271.24, 343.27, 0.0375, 1.0, RSN6895_DARFIELD_DKHSN33W.AT2, RSN6895_DARFIELD_DKHSN57E.AT2 , RSN6895_DARFIELD_DKHSUP.AT2  
16, SRSS, 6896, -, 1.0, -, 15.9, 27.9, 0.2, "Darfield_ New Zealand", 2010, "DORC", 7.0, strike slip, 29.96, 32.91, 280.26, 0.125, 1.0, RSN6896_DARFIELD_DORCN20W.AT2, RSN6896_DARFIELD_DORCN70E.AT2 , RSN6896_DARFIELD_DORCUP.AT2  
17, SRSS, 6897, -, 1.0, 7.826, 13.0, 19.6, 2.1, "Darfield_ New Zealand", 2010, "DSLC", 7.0, strike slip, 5.28, 8.46, 295.74, 0.075, 1.0, RSN6897_DARFIELD_DSLCN27W.AT2, RSN6897_DARFIELD_DSLCN63E.AT2 , RSN6897_DARFIELD_DSLCUP.AT2  
18, SRSS, 6898, -, 1.0, -, 27.3, 46.0, 0.0, "Darfield_ New Zealand", 2010, "DSZ", 7.0, strike slip, 207.34, 207.34, 638.39, 0.05, 1.0, RSN6898_DARFIELD_DSZE.AT2, RSN6898_DARFIELD_DSZN.AT2 , RSN6898_DARFIELD_DSZUP.AT2  
19, SRSS, 6899, -, 1.0, -, 37.6, 63.4, 0.0, "Darfield_ New Zealand", 2010, "EAZ", 7.0, strike slip, 262.75, 263.82, 638.39, 0.05, 1.0, RSN6899_DARFIELD_EAZE.AT2, RSN6899_DARFIELD_EAZN.AT2 , RSN6899_DARFIELD_EAZUP.AT2  
20, SRSS, 6900, -, 1.0, -, 17.0, 23.3, 0.0, "Darfield_ New Zealand", 2010, "EBPS", 7.0, strike slip, 326.8, 326.8, 561.04, 0.5, 1.0, RSN6900_DARFIELD_EBPSS38W.AT2, RSN6900_DARFIELD_EBPSS52E.AT2 , RSN6900_DARFIELD_EBPSUP.AT2  
21, SRSS, 6901, -, 1.0, -, 14.0, 29.7, 0.3, "Darfield_ New Zealand", 2010, "FDCS", 7.0, strike slip, 90.17, 91.59, 389.54, 0.0375, 1.0, RSN6901_DARFIELD_FDCSN09W.AT2, RSN6901_DARFIELD_FDCSS81W.AT2 , RSN6901_DARFIELD_FDCSUP.AT2  
22, SRSS, 6902, -, 1.0, -, 26.6, 40.2, 0.0, "Darfield_ New Zealand", 2010, "FGPS", 7.0, strike slip, 141.18, 141.18, 476.62, 0.05, 1.0, RSN6902_DARFIELD_FGPSN02E.AT2, RSN6902_DARFIELD_FGPSN88W.AT2 , RSN6902_DARFIELD_FGPSUP.AT2  
23, SRSS, 6903, -, 1.0, -, 24.4, 40.4, 0.0, "Darfield_ New Zealand", 2010, "FJDS", 7.0, strike slip, 129.46, 129.46, 476.62, 0.025, 1.0, RSN6903_DARFIELD_FJDSN83E.AT2, RSN6903_DARFIELD_FJDSS07E.AT2 , RSN6903_DARFIELD_FJDSUP.AT2  
24, SRSS, 6904, -, 1.0, -, 35.4, 52.6, 0.0, "Darfield_ New Zealand", 2010, "FKPS", 7.0, strike slip, 320.76, 320.76, 485.04, 0.25, 1.0, RSN6904_DARFIELD_FKPSN08W.AT2, RSN6904_DARFIELD_FKPSS82W.AT2 , RSN6904_DARFIELD_FKPSUP.AT2  
25, SRSS, 6905, -, 1.0, -, 23.7, 45.2, 0.0, "Darfield_ New Zealand", 2010, "FOZ", 7.0, strike slip, 166.81, 166.81, 579.4, 0.0375, 1.0, RSN6905_DARFIELD_FOZE.AT2, RSN6905_DARFIELD_FOZN.AT2 , RSN6905_DARFIELD_FOZUP.AT2  
26, SRSS, 6906, -, 1.0, 6.23, 5.6, 16.0, 4.7, "Darfield_ New Zealand", 2010, "GDLC", 7.0, strike slip, 1.22, 1.22, 344.02, 0.0625, 1.0, RSN6906_DARFIELD_GDLCN55W.AT2, RSN6906_DARFIELD_GDLCS35W.AT2 , RSN6906_DARFIELD_GDLCUP.AT2  
27, SRSS, 6907, -, 1.0, -, 19.6, 30.2, 0.0, "Darfield_ New Zealand", 2010, "GMTS", 7.0, strike slip, 137.41, 137.41, 485.04, 0.0375, 1.0, RSN6907_DARFIELD_GMTSN18E.AT2, RSN6907_DARFIELD_GMTSN72W.AT2 , RSN6907_DARFIELD_GMTSUP.AT2  
28, SRSS, 6908, -, 1.0, -, 17.4, 43.4, 0.0, "Darfield_ New Zealand", 2010, "HAFS", 7.0, strike slip, 110.23, 110.23, 476.62, 0.0375, 1.0, RSN6908_DARFIELD_HAFSN77W.AT2, RSN6908_DARFIELD_HAFSS13W.AT2 , RSN6908_DARFIELD_HAFSUP.AT2  
29, SRSS, 6909, -, 1.0, -, 35.8, 55.3, 0.0, "Darfield_ New Zealand", 2010, "HDWS", 7.0, strike slip, 219.88, 220.07, 299.42, 0.0625, 1.0, RSN6909_DARFIELD_HDWSN17W.AT2, RSN6909_DARFIELD_HDWSS73W.AT2 , RSN6909_DARFIELD_HDWSUP.AT2  
30, SRSS, 6910, -, 1.0, -, 20.9, 40.6, 0.0, "Darfield_ New Zealand", 2010, "HMCS", 7.0, strike slip, 119.11, 119.11, 289.69, 0.0625, 1.0, RSN6910_DARFIELD_HMCSN37E.AT2, RSN6910_DARFIELD_HMCSN53W.AT2 , RSN6910_DARFIELD_HMCSUP.AT2  
31, SRSS, 6911, -, 1.0, 9.919, 7.0, 9.5, 3.2, "Darfield_ New Zealand", 2010, "HORC", 7.0, strike slip, 7.29, 7.29, 326.01, 0.125, 1.0, RSN6911_DARFIELD_HORCN18E.AT2, RSN6911_DARFIELD_HORCS72E.AT2 , RSN6911_DARFIELD_HORCUP.AT2  
32, SRSS, 6912, -, 1.0, -, 11.6, 25.8, 0.6, "Darfield_ New Zealand", 2010, "Hulverstone Drive Pumping Station", 7.0, strike slip, 25.4, 25.4, 206.0, 0.4125, 1.0, RSN6912_DARFIELD_HPSCN04W.AT2, RSN6912_DARFIELD_HPSCS86W.AT2 , RSN6912_DARFIELD_HPSCUP.AT2  
33, SRSS, 6913, -, 1.0, -, 16.9, 31.3, 0.1, "Darfield_ New Zealand", 2010, "HSES", 7.0, strike slip, 122.25, 122.25, 644.76, 0.0625, 1.0, RSN6913_DARFIELD_HSESN10E.AT2, RSN6913_DARFIELD_HSESN80W.AT2 , RSN6913_DARFIELD_HSESUP.AT2  
34, SRSS, 6914, -, 1.0, -, 49.4, 73.4, 0.0, "Darfield_ New Zealand", 2010, "HUKS", 7.0, strike slip, 513.11, 513.11, 384.86, 0.25, 1.0, RSN6914_DARFIELD_HUKSN34E.AT2, RSN6914_DARFIELD_HUKSS56E.AT2 , RSN6914_DARFIELD_HUKSUP.AT2  
35, SRSS, 6915, -, 1.0, -, 8.5, 15.7, 4.1, "Darfield_ New Zealand", 2010, "Heathcote Valley Primary School ", 7.0, strike slip, 24.36, 24.47, 422.0, 0.075, 1.0, RSN6915_DARFIELD_HVSCS26W.AT2, RSN6915_DARFIELD_HVSCS64E.AT2 , RSN6915_DARFIELD_HVSCUP.AT2  
36, SRSS, 6916, -, 1.0, -, 76.4, 95.0, 0.0, "Darfield_ New Zealand", 2010, "HWHS", 7.0, strike slip, 470.68, 470.68, 309.78, 0.0625, 1.0, RSN6916_DARFIELD_HWHSN19E.AT2, RSN6916_DARFIELD_HWHSS71E.AT2 , RSN6916_DARFIELD_HWHSUP.AT2  
37, SRSS, 6917, -, 1.0, -, 85.7, 105.7, 0.0, "Darfield_ New Zealand", 2010, "ICCS", 7.0, strike slip, 408.32, 409.02, 338.67, 0.0375, 1.0, RSN6917_DARFIELD_ICCSN55E.AT2, RSN6917_DARFIELD_ICCSS35E.AT2 , RSN6917_DARFIELD_ICCSUP.AT2  
38, SRSS, 6919, -, 1.0, -, 16.9, 44.4, 0.0, "Darfield_ New Zealand", 2010, "INSS", 7.0, strike slip, 332.79, 332.79, 649.67, 0.2875, 1.0, RSN6919_DARFIELD_INSSN13W.AT2, RSN6919_DARFIELD_INSSS77W.AT2 , RSN6919_DARFIELD_INSSUP.AT2  
39, SRSS, 6920, -, 1.0, -, 43.2, 50.6, 0.0, "Darfield_ New Zealand", 2010, "KHZ", 7.0, strike slip, 158.77, 158.77, 369.09, 0.075, 1.0, RSN6920_DARFIELD_KHZE.AT2, RSN6920_DARFIELD_KHZN.AT2 , RSN6920_DARFIELD_KHZUP.AT2  
40, SRSS, 6921, -, 1.0, -, 43.5, 78.7, 0.0, "Darfield_ New Zealand", 2010, "KIKS", 7.0, strike slip, 164.93, 164.93, 369.09, 0.0375, 1.0, RSN6921_DARFIELD_KIKSN65E.AT2, RSN6921_DARFIELD_KIKSS25E.AT2 , RSN6921_DARFIELD_KIKSUP.AT2  
41, SRSS, 6922, -, 1.0, -, 20.2, 35.4, 0.1, "Darfield_ New Zealand", 2010, "KOKS", 7.0, strike slip, 95.18, 95.18, 511.16, 0.0625, 1.0, RSN6922_DARFIELD_KOKSN26E.AT2, RSN6922_DARFIELD_KOKSS64E.AT2 , RSN6922_DARFIELD_KOKSUP.AT2  
42, SRSS, 6923, -, 1.0, -, 10.3, 20.1, 1.6, "Darfield_ New Zealand", 2010, "Kaiapoi North School ", 7.0, strike slip, 30.53, 30.53, 255.0, 0.2, 1.0, RSN6923_DARFIELD_KPOCN15E.AT2, RSN6923_DARFIELD_KPOCS75E.AT2 , RSN6923_DARFIELD_KPOCUP.AT2  
43, SRSS, 6924, -, 1.0, -, 23.0, 43.0, 0.0, "Darfield_ New Zealand", 2010, "LBZ", 7.0, strike slip, 150.54, 151.79, 638.39, 0.0375, 1.0, RSN6924_DARFIELD_LBZE.AT2, RSN6924_DARFIELD_LBZN.AT2 , RSN6924_DARFIELD_LBZUP.AT2  
44, SRSS, 6925, -, 1.0, -, 37.7, 69.7, 0.0, "Darfield_ New Zealand", 2010, "LHES", 7.0, strike slip, 333.84, 333.84, 389.54, 0.0375, 1.0, RSN6925_DARFIELD_LHESN72W.AT2, RSN6925_DARFIELD_LHESS18W.AT2 , RSN6925_DARFIELD_LHESUP.AT2  
45, SRSS, 6926, -, 1.0, -, 38.6, 51.0, 0.0, "Darfield_ New Zealand", 2010, "LHUS", 7.0, strike slip, 331.62, 331.62, 299.64, 0.25, 1.0, RSN6926_DARFIELD_LHUSS21W.AT2, RSN6926_DARFIELD_LHUSS69E.AT2 , RSN6926_DARFIELD_LHUSUP.AT2  
46, SRSS, 6927, -, 1.0, 7.371, 8.3, 12.7, 2.7, "Darfield_ New Zealand", 2010, "LINC", 7.0, strike slip, 5.07, 7.11, 263.2, 0.075, 1.0, RSN6927_DARFIELD_LINCN23E.AT2, RSN6927_DARFIELD_LINCN67W.AT2 , RSN6927_DARFIELD_LINCUP.AT2  
47, SRSS, 6928, -, 1.0, 10.633, 7.6, 12.9, 0.7, "Darfield_ New Zealand", 2010, "LPCC", 7.0, strike slip, 25.21, 25.67, 649.67, 0.125, 1.0, RSN6928_DARFIELD_LPCCN80E.AT2, RSN6928_DARFIELD_LPCCS10E.AT2 , RSN6928_DARFIELD_LPCCUP.AT2  
48, SRSS, 6929, -, 1.0, -, 22.5, 39.1, 0.0, "Darfield_ New Zealand", 2010, "LPLS", 7.0, strike slip, 188.19, 188.19, 485.04, 0.0375, 1.0, RSN6929_DARFIELD_LPLSS21E.AT2, RSN6929_DARFIELD_LPLSS69W.AT2 , RSN6929_DARFIELD_LPLSUP.AT2  
49, SRSS, 6930, -, 1.0, -, 13.8, 23.8, 0.2, "Darfield_ New Zealand", 2010, "LRSC", 7.0, strike slip, 9.38, 12.52, 295.74, 0.375, 1.0, RSN6930_DARFIELD_LRSCN49W.AT2, RSN6930_DARFIELD_LRSCS41W.AT2 , RSN6930_DARFIELD_LRSCUP.AT2  
50, SRSS, 6931, -, 1.0, -, 15.9, 28.8, 0.0, "Darfield_ New Zealand", 2010, "LTZ", 7.0, strike slip, 89.18, 89.18, 638.39, 0.0375, 1.0, RSN6931_DARFIELD_LTZE.AT2, RSN6931_DARFIELD_LTZN.AT2 , RSN6931_DARFIELD_LTZUP.AT2  
51, SRSS, 6932, -, 1.0, -, 65.4, 88.0, 0.0, "Darfield_ New Zealand", 2010, "MAVS", 7.0, strike slip, 363.92, 363.92, 356.39, 0.2875, 1.0, RSN6932_DARFIELD_MAVSS39E.AT2, RSN6932_DARFIELD_MAVSS51W.AT2 , RSN6932_DARFIELD_MAVSUP.AT2  
52, SRSS, 6933, -, 1.0, -, 15.1, 25.5, 0.1, "Darfield_ New Zealand", 2010, "MAYC", 7.0, strike slip, 33.54, 35.23, 342.7, 0.175, 1.0, RSN6933_DARFIELD_MAYCN14E.AT2, RSN6933_DARFIELD_MAYCN76W.AT2 , RSN6933_DARFIELD_MAYCUP.AT2  
53, SRSS, 6934, -, 1.0, -, 22.1, 34.0, 0.0, "Darfield_ New Zealand", 2010, "MCNS", 7.0, strike slip, 134.16, 134.21, 644.76, 0.025, 1.0, RSN6934_DARFIELD_MCNSN34W.AT2, RSN6934_DARFIELD_MCNSN56E.AT2 , RSN6934_DARFIELD_MCNSUP.AT2  
54, SRSS, 6935, -, 1.0, -, 32.2, 46.0, 0.0, "Darfield_ New Zealand", 2010, "MECS", 7.0, strike slip, 212.69, 213.37, 551.3, 0.0375, 1.0, RSN6935_DARFIELD_MECSN23E.AT2, RSN6935_DARFIELD_MECSN67W.AT2 , RSN6935_DARFIELD_MECSUP.AT2  
55, SRSS, 6936, -, 1.0, -, 43.5, 77.1, 0.0, "Darfield_ New Zealand", 2010, "MISS", 7.0, strike slip, 320.37, 320.37, 356.39, 0.0375, 1.0, RSN6936_DARFIELD_MISSN24E.AT2, RSN6936_DARFIELD_MISSN66W.AT2 , RSN6936_DARFIELD_MISSUP.AT2  
56, SRSS, 6937, -, 1.0, -, 28.4, 47.6, 0.0, "Darfield_ New Zealand", 2010, "MOLS", 7.0, strike slip, 179.69, 179.69, 561.04, 0.0625, 1.0, RSN6937_DARFIELD_MOLSS16E.AT2, RSN6937_DARFIELD_MOLSS74W.AT2 , RSN6937_DARFIELD_MOLSUP.AT2  
57, SRSS, 6938, -, 1.0, -, 29.0, 52.5, 0.0, "Darfield_ New Zealand", 2010, "MOSS", 7.0, strike slip, 358.26, 359.05, 336.98, 0.05, 1.0, RSN6938_DARFIELD_MOSSN26E.AT2, RSN6938_DARFIELD_MOSSN64W.AT2 , RSN6938_DARFIELD_MOSSUP.AT2  
58, SRSS, 6939, -, 1.0, -, 29.1, 41.2, 0.0, "Darfield_ New Zealand", 2010, "MOTS", 7.0, strike slip, 277.38, 277.38, 299.64, 0.075, 1.0, RSN6939_DARFIELD_MOTSN05E.AT2, RSN6939_DARFIELD_MOTSS85E.AT2 , RSN6939_DARFIELD_MOTSUP.AT2  
59, SRSS, 6940, -, 1.0, -, 50.8, 73.7, 0.0, "Darfield_ New Zealand", 2010, "MSZ", 7.0, strike slip, 326.69, 327.39, 649.67, 0.025, 1.0, RSN6940_DARFIELD_MSZE.AT2, RSN6940_DARFIELD_MSZN.AT2 , RSN6940_DARFIELD_MSZUP.AT2  
60, SRSS, 6941, -, 1.0, -, 28.4, 46.3, 0.0, "Darfield_ New Zealand", 2010, "NNBS North New Brighton School ", 7.0, strike slip, 266.57, 266.57, 211.0, 0.125, 1.0, RSN6941_DARFIELD_NCBSN43E.AT2, RSN6941_DARFIELD_NCBSS47E.AT2 , RSN6941_DARFIELD_NCBSUP.AT2  
61, SRSS, 6942, -, 1.0, 8.043, 11.3, 29.3, 0.8, "Darfield_ New Zealand", 2010, "NNBS North New Brighton School ", 7.0, strike slip, 26.76, 26.76, 211.0, 0.05, 1.0, RSN6942_DARFIELD_NNBSS13E.AT2, RSN6942_DARFIELD_NNBSS77W.AT2 , RSN6942_DARFIELD_NNBSUP.AT2  
62, SRSS, 6943, -, 1.0, -, 50.0, 74.8, 0.0, "Darfield_ New Zealand", 2010, "NNZ", 7.0, strike slip, 274.47, 274.47, 649.67, 0.05, 1.0, RSN6943_DARFIELD_NNZE.AT2, RSN6943_DARFIELD_NNZN.AT2 , RSN6943_DARFIELD_NNZUP.AT2  
63, SRSS, 6944, -, 1.0, -, 42.0, 58.4, 0.0, "Darfield_ New Zealand", 2010, "NSBS", 7.0, strike slip, 251.95, 252.25, 399.61, 0.0375, 1.0, RSN6944_DARFIELD_NSBSN13E.AT2, RSN6944_DARFIELD_NSBSN77W.AT2 , RSN6944_DARFIELD_NSBSUP.AT2  
64, SRSS, 6945, -, 1.0, -, 24.6, 38.7, 0.0, "Darfield_ New Zealand", 2010, "OAMS", 7.0, strike slip, 173.49, 175.1, 437.72, 0.05, 1.0, RSN6945_DARFIELD_OAMSS18W.AT2, RSN6945_DARFIELD_OAMSS72E.AT2 , RSN6945_DARFIELD_OAMSUP.AT2  
65, SRSS, 6946, -, 1.0, -, 29.4, 41.6, 0.0, "Darfield_ New Zealand", 2010, "ODZ", 7.0, strike slip, 179.01, 180.55, 638.39, 0.0375, 1.0, RSN6946_DARFIELD_ODZE.AT2, RSN6946_DARFIELD_ODZN.AT2 , RSN6946_DARFIELD_ODZUP.AT2  
66, SRSS, 6947, -, 1.0, -, 27.3, 50.8, 0.0, "Darfield_ New Zealand", 2010, "OPZ", 7.0, strike slip, 265.39, 266.45, 543.03, 0.0375, 1.0, RSN6947_DARFIELD_OPZE.AT2, RSN6947_DARFIELD_OPZN.AT2 , RSN6947_DARFIELD_OPZUP.AT2  
67, SRSS, 6948, -, 1.0, -, 17.8, 23.0, 0.5, "Darfield_ New Zealand", 2010, "OXZ", 7.0, strike slip, 30.63, 30.63, 481.62, 0.1, 1.0, RSN6948_DARFIELD_OXZE.AT2, RSN6948_DARFIELD_OXZN.AT2 , RSN6948_DARFIELD_OXZUP.AT2  
68, SRSS, 6949, -, 1.0, -, 14.2, 20.9, 0.3, "Darfield_ New Zealand", 2010, "PEEC", 7.0, strike slip, 52.13, 53.75, 551.3, 0.175, 1.0, RSN6949_DARFIELD_PEECN11W.AT2, RSN6949_DARFIELD_PEECS79W.AT2 , RSN6949_DARFIELD_PEECUP.AT2  
69, SRSS, 6950, -, 1.0, -, 50.9, 75.0, 0.0, "Darfield_ New Zealand", 2010, "PGMS", 7.0, strike slip, 331.47, 331.47, 306.37, 0.0375, 1.0, RSN6950_DARFIELD_PGMSS25W.AT2, RSN6950_DARFIELD_PGMSS65E.AT2 , RSN6950_DARFIELD_PGMSUP.AT2  
70, SRSS, 6951, -, 1.0, -, 17.1, 27.0, 0.0, "Darfield_ New Zealand", 2010, "POLS", 7.0, strike slip, 337.83, 337.83, 375.21, 0.25, 1.0, RSN6951_DARFIELD_POLSS22W.AT2, RSN6951_DARFIELD_POLSS68E.AT2 , RSN6951_DARFIELD_POLSUP.AT2  
71, SRSS, 6952, -, 1.0, -, 12.5, 37.0, 1.3, "Darfield_ New Zealand", 2010, "Papanui High School ", 7.0, strike slip, 18.73, 18.73, 263.2, 0.0625, 1.0, RSN6952_DARFIELD_PPHSS33W.AT2, RSN6952_DARFIELD_PPHSS57E.AT2 , RSN6952_DARFIELD_PPHSUP.AT2  
72, SRSS, 6953, -, 1.0, -, 11.2, 22.0, 1.3, "Darfield_ New Zealand", 2010, "Pages Road Pumping Station", 7.0, strike slip, 24.55, 24.55, 206.0, 0.0875, 1.0, RSN6953_DARFIELD_PRPCW.AT2, RSN6953_DARFIELD_PRPCS.AT2 , RSN6953_DARFIELD_PRPCUP.AT2  
73, SRSS, 6954, -, 1.0, -, 65.5, 70.6, 0.0, "Darfield_ New Zealand", 2010, "PXZ", 7.0, strike slip, 540.93, 540.93, 579.4, 0.05, 1.0, RSN6954_DARFIELD_PXZE.AT2, RSN6954_DARFIELD_PXZN.AT2 , RSN6954_DARFIELD_PXZUP.AT2  
74, SRSS, 6955, -, 1.0, -, 55.0, 73.5, 0.0, "Darfield_ New Zealand", 2010, "PYZ", 7.0, strike slip, 488.92, 489.5, 544.31, 0.0625, 1.0, RSN6955_DARFIELD_PYZE.AT2, RSN6955_DARFIELD_PYZN.AT2 , RSN6955_DARFIELD_PYZUP.AT2  
75, SRSS, 6956, -, 1.0, -, 31.3, 45.3, 0.0, "Darfield_ New Zealand", 2010, "QCCS", 7.0, strike slip, 288.13, 288.13, 520.19, 0.0625, 1.0, RSN6956_DARFIELD_QCCSN52W.AT2, RSN6956_DARFIELD_QCCSS38W.AT2 , RSN6956_DARFIELD_QCCSUP.AT2  
